reviewText,Ratings,Sentiment
GREAT when they are giving to you as a gift,5,Positive
i like it is good,4,Positive
very good,5,Positive
Gift cards are always helpful!,5,Positive
It is a gift card.  Nothing more to say.,5,Positive
Can't go wrong!,5,Positive
Excellent!,5,Positive
"All you're products are perfect, Saves a day out in the heat or cold. I am disabled and don't drive . Amazonis perfect for people  like me. Thanks Ms Nelson.",5,Positive
I got a $50 gift card as a gift from someone else. When I opened the card from the cardboard holder I discovered that the claim code was not fully readable. After contacting customer service they stated that the gift card was already used! ...how can a gift card in it packaging be used?!? My claim was escalated to someone else. Their customer service has been horrible and I'm waiting to hear what they will find. I didn't get an email that they had gotten my email until the next day and the representative in the phone was not very friendly.,1,Negative
What a great time I had online spending my Amazon Gift Card!  Here's a pic of an anklet bracelet; just one of many items I was able to purchase because of Amazon's low prices and legendary service.,5,Positive
Thanks,5,Positive
Great,5,Positive
Good item good price and fast shipping+++++,5,Positive
It's a gift card - what's to like/dislike?,3,Neutral
good gift idea,4,Neutral
:-),5,Positive
its a gift card,5,Positive
"I purchased six $50 Amazon Gift Cards from a local supermarket (Bi Lo) to give as Christmas Gifts in 2015 (something I've done for many years). My Sister-in-law, the recipient of one of those $50 Amazon Gift Cards called me to say that she's lost the Gift Card (most likely accidentally discarded with all of the Christmas paper, etc. and burned in the trash). I told her ""no problem"", since I had kept my receipt from Bi Lo that includes the Amazon Gift Card Number, and I felt certain that Amazon would be able to see that no purchases had been made against their Gift Card Number and that either Amazon or Bi Lo would be able to cancel that card and issue a new one, or Credit her online Amazon Account $50 and bypass issuing a new physical card altogether. I was sadly mistaken.... when she initially contacted Amazon, they told her that since the Amazon Card was purchased from Bi Lo, we would need to take the matter up with them. I went to Bi Lo and was told that there wasn't anything that they could do and that I would need to contact Amazon. Since my Sister-in-law had already contacted Amazon and been turned away, I decided since I was the one who made the purchase and had the receipt, I would call my Credit Card Company first to see if they might be able to offer some assistance in getting the matter resolved since I had purchased all of the Gift Cards with my Credit Card. After 30 minutes discussing the details with my Credit Card Company, they said they understood my dilemma but weren't able to dispute the charge with Bi Lo. They suggested I contact Amazon directly since I had my receipt with Amazon's Gift Card number on and since it was Amazon's gift card. So... after about 30 minutes on the phone with a very nice gentleman from Amazon who made 2 attempts to get his Supervisor to approve some type of credit for the loss, he sadly informed me that Amazon isn't responsible for purchases of their Gift Cards that aren't made from their website. I told him that since Amazon isn't willing to offer any assistance, even though they can clearly see in their system a $50 unused Credit on that lost Gift Card and since I had my receipt with their Gift Card number printed on the receipt (proof that I had purchased their Gift Card), I felt as though Amazon had ROBBED me of $50, since the only one who will benefit financially from this gift transaction is Amazon and I had certainly not intended to add ""Amazon"" as one of my 2015 Christmas names to buy for! Furthermore, I told him that I would not be making any more purchases from Amazon directly or purchasing any other Amazon Gift Cards in the future and would encourage others to do the same. I try not to support businesses that engage in thievery, and that is exactly how I feel I was treated in this instance.",1,Negative
Thanks,5,Positive
I had absolutely no problems redeeming my gift card. Excellent and easy!,5,Positive
"Amazing site one of the best , amazon never fails",5,Positive
"Cant beat a gift card, and they can email the gift rather than ship it!",5,Positive
Bought some great books for my Kindle and other items.,5,Positive
"Amazon gift cards are the biggest fraud I have ever seen! My husband was issued a $50 gift card from his work over a year ago and had been waiting to use it on something he or I needed. With Christmas just around the corner he and I thought it would be a great idea to use the gift card to buy gifts with. My husband spent $24 dollars and change leaving me a balance of $25 dollars to use if I wanted to buy something. I thought hey this is perfect! I can buy my nephew the movie he asked for and a few other small items for stockings and not break the bank.

Well of course life doesn't work out the way it is supposed to. Because my husband and I each have our own Amazon accounts, created before we were married, and maintained for buying the surprise birthday, Christmas, or anniversary gift. And here is where the CATCH comes in... Any purchases or that were made on an Amazon gift card, or if a gift card was even just registered under a particular individual/account can not be used or shared by someone else. The powers that be at Amazon consider that transferring. This includes any minor children that may have an account not just your spouse. Which means...I would have to spend personal money out of pocket if I wanted to still buy these items off Amazon, instead of using a perfectly good gift card that would have covered the balance. Or the other option which was never suggested was log into my husbands account not look at what he bought me in his previous purchase section and buy what I wanted for my nephew and kids on my husbands account only after I ask him for his password (which he would have given me.)

Don't bother taking into account that minors can not own items so to restrict the transfer of property (from parent to child) is illegal and minors can not be bound to such agreements ...and I myself live in a joint property state so at the end of the day what is my husbands is mine and mine is his.",1,Negative
Always good deals on Amazon,5,Positive
daughter was surprised,4,Positive
"Always nice to have, very easy to use.",5,Positive
great,5,Positive
"I received 3 $10 gift cards for my birthday, and they are horrible. You can't fully scratch off the card to get the claim code and when you do, you can't read it. I've tried and tried to enter the codes to buy some books with my cards. Invalid entry. They're useless. Don't get the cards.",1,Negative
$25 for a $25 Amazon Gift card. Great for gifts and great for holiday presents when you don't know what exactly to get them. What more can I say? It arrives fast and free and comes in a nice packaging so no wrapping is necessary. All you need to do really is to write the person a note or letter for the occasion. Great!,5,Positive
Great for a gift,5,Positive
I gave this card as a gift. Of course they loved it !!!,5,Positive
Perfect.,5,Positive
It's just a gift card.,5,Positive
always appreciated,5,Positive
It's just like having  $100. Except I couldn't get Walmart to accept it. Apparently you can only use it on the interweb at Amazon. That would've been nice to know before my purchase. If you are looking at gift card reviews maybe it's time to seek professional help.,3,Neutral
nice gift card for family and friends,5,Positive
Used as gift for an older teen. He loved it! Used it online to purchase p/c things.,5,Positive
Who would not love a gift card from amazon. This was a gift for someone.,3,Neutral
As expected,5,Positive
an easy way to give and pay,5,Neutral
"Check out this Amazon Gift Card generator, I've tried it and I found it easy to use. http://www.giftcardclub.org/AMAZON/ Nothing to download and it's totally free ;]",5,Positive
Great deal!  I buy most everything from Amazon and when I bought this card I received a $20.00 credit on Amazon.,5,Positive
alwaysove a gift card,5,Positive
"I received a $50 Amazon gift card from my employer per an internal contest - yippee!
Could you implement the functionality that Apple has - allow the users devise's camera - in this case my Mac - to take a picture of the gift card code?
This will elevate errors when keying in the number and prove user friendly for customers with visual challengers.
Thank you,",1,Negative
great way to give gifts,5,Positive
I love amazon!,5,Positive
5 Stars,5,Positive
Your staff was exceptional as always. Love dealing with Amazon,5,Positive
VERY GOOD,5,Positive
"Needed it, they had it now I got it",5,Positive
perfect gift,5,Positive
Perfect gift for anyone.,5,Positive
How could I not love this?  It was great.,5,Positive
Great gift,5,Positive
Nothing to Review it is a Gift card if you don't want a gift card don't buy it if you do then buy it < Simple as that,1,Negative
My son-in-law loves Amazon so it was the perfect gift for him.  Now I think I love Amazon just as much as he does!!!!,5,Positive
always nice,5,Positive
Easy way to give,5,Positive
"Love amazon gift card, it is so convenient..",5,Positive
Always the perfect gift.,5,Positive
The gifts were well-received.,5,Positive
GREHlRT. THANK YOU GUYS SO MUCH!!!,5,Positive
perfect,5,Positive
Its a gift card.,5,Positive
Always needed,5,Positive
I don't remember ever getting one.,3,Neutral
great,5,Positive
"Was a gift, the recipient said it was easy to add to their account.",5,Positive
came in one day,5,Positive
Did not get the card  called a few times but did not get a response,2,Negative
These are always great gifts.,5,Positive
"Easy to purchase for gift giving.
Recipients have uniformly been pleased.
It takes the guess work out of remembering special occasions.
I will continue to buy these.",4,Positive
gift,5,Positive
This is one of the best gifts to giive someone who doesn't know what to give someone for an occasion.  I've gootten them in the past; and love them.  TRY IT!  Whomever you gift this to will really be happy.  PUT A SMILE ON SOMEONE'S FACE!,5,Positive
Worth $25!!!!,5,Positive
"excellent price, prodict and service",5,Positive
Is like cash,5,Positive
Very cheap looking clued on back ripped picked off I will never buy a another one I bought as Christmas gift ashamed to give it  Mary Workmman,1,Negative
Perfect!,5,Positive
"Really, who doesn't like a gift card that you can spend on what you want.",5,Positive
super convenient!,5,Positive
useful,4,Positive
"My Bad?  Have been trying to mail two, $100 gift cards to two different states. One to the father and the other to his son,
BUT they have the same birthday calendar date!!.

The first card was successfully received  but your program can't get it through its Corporate head that I would like the second card to go to a different email address to a different person..

I don't want to be billed for the second to be incorrectly recognized.  Maybe I should just put a USPS stamp on a personal check and send it???  At best I do not want to be billed for the number 2 effort until it is delivered ...if ever.",1,Negative
Can't go wrong with this as a gift,5,Positive
Perfect when I'm stuck for a gift idea.,5,Positive
Exelente,5,Positive
"What can you say?  Great easy way to give a gift. I love receiving them and love giving them. They ship right to the recipient, and they can get whatever they want!",5,Positive
